"iso","timeInterval","scenario","biovar","weightedMean"
"IDN","2020","rcp45","biovar07",8.3
"IDN","2020","rcp45","biovar08",26
"IDN","2020","rcp45","biovar09",25.7
"IDN","2020","rcp45","biovar10",26.3
"IDN","2020","rcp45","biovar11",25.4
"IDN","2020","rcp45","biovar12",3916.4
"IDN","2020","rcp45","biovar13",934.3
"IDN","2020","rcp45","biovar14",151
"IDN","2020","rcp45","biovar15",66.2
"IDN","2020","rcp45","biovar16",1505.5
"IDN","2020","rcp45","biovar17",531.7
"IDN","2020","rcp45","biovar18",1000.3
"IDN","2020","rcp45","biovar19",1032.5
"IDN","2020","rcp85","biovar01",25.9
"IDN","2020","rcp85","biovar02",6.9
"IDN","2020","rcp85","biovar03",81.7
"IDN","2020","rcp85","biovar04",39.1
"IDN","2020","rcp85","biovar05",30.2
"IDN","2020","rcp85","biovar06",21.9
"IDN","2020","rcp85","biovar07",8.3
"IDN","2020","rcp85","biovar08",26.1
"IDN","2020","rcp85","biovar09",25.8
"IDN","2020","rcp85","biovar10",26.4
"IDN","2020","rcp85","biovar11",25.4
"IDN","2020","rcp85","biovar12",3836.7
"IDN","2020","rcp85","biovar13",890
"IDN","2020","rcp85","biovar14",149.8
"IDN","2020","rcp85","biovar15",63.3
"IDN","2020","rcp85","biovar16",1456.9
"IDN","2020","rcp85","biovar17",533.2
"IDN","2020","rcp85","biovar18",982.7
"IDN","2020","rcp85","biovar19",980.7
"IDN","2030","rcp45","biovar01",26.1
"IDN","2030","rcp45","biovar02",6.9
"IDN","2030","rcp45","biovar03",81.6
"IDN","2030","rcp45","biovar04",39.1
"IDN","2030","rcp45","biovar05",30.4
"IDN","2030","rcp45","biovar06",22
"IDN","2030","rcp45","biovar07",8.3
"IDN","2030","rcp45","biovar08",26.2
"IDN","2030","rcp45","biovar09",25.9
"IDN","2030","rcp45","biovar10",26.5
"IDN","2030","rcp45","biovar11",25.6
"IDN","2030","rcp45","biovar12",3908.2
"IDN","2030","rcp45","biovar13",911.5
"IDN","2030","rcp45","biovar14",149.9
"IDN","2030","rcp45","biovar15",64.5
"IDN","2030","rcp45","biovar16",1487.1
"IDN","2030","rcp45","biovar17",527.5
"IDN","2030","rcp45","biovar18",995.3
"IDN","2030","rcp45","biovar19",1016.7
"IDN","2030","rcp85","biovar01",26.2
"IDN","2030","rcp85","biovar02",6.9
"IDN","2030","rcp85","biovar03",81.7
"IDN","2030","rcp85","biovar04",39
"IDN","2030","rcp85","biovar05",30.4
"IDN","2030","rcp85","biovar06",22.1
"IDN","2030","rcp85","biovar07",8.3
"IDN","2030","rcp85","biovar08",26.3
"IDN","2030","rcp85","biovar09",26
"IDN","2030","rcp85","biovar10",26.6
"IDN","2030","rcp85","biovar11",25.6
"IDN","2030","rcp85","biovar12",3857.6
"IDN","2030","rcp85","biovar13",900.2
"IDN","2030","rcp85","biovar14",147.8
"IDN","2030","rcp85","biovar15",63.9
"IDN","2030","rcp85","biovar16",1472.4
"IDN","2030","rcp85","biovar17",529.2
"IDN","2030","rcp85","biovar18",990.3
"IDN","2030","rcp85","biovar19",983.6
"IDN","2040","rcp45","biovar01",26.3
"IDN","2040","rcp45","biovar02",6.9
"IDN","2040","rcp45","biovar03",81.4
"IDN","2040","rcp45","biovar04",39.8
"IDN","2040","rcp45","biovar05",30.5
"IDN","2040","rcp45","biovar06",22.2
"IDN","2040","rcp45","biovar07",8.3
"IDN","2040","rcp45","biovar08",26.4
"IDN","2040","rcp45","biovar09",26.1
"IDN","2040","rcp45","biovar10",26.7
"IDN","2040","rcp45","biovar11",25.7
"IDN","2040","rcp45","biovar12",3985.1
"IDN","2040","rcp45","biovar13",938.5
"IDN","2040","rcp45","biovar14",154.9
"IDN","2040","rcp45","biovar15",64.7
"IDN","2040","rcp45","biovar16",1520
"IDN","2040","rcp45","biovar17",550.1
"IDN","2040","rcp45","biovar18",1022.6
"IDN","2040","rcp45","biovar19",1011.6
"IDN","2040","rcp85","biovar01",26.5
